Common.Name,SpeciesCode,ScientificName,GrowthHabit,Duration,GrowthHabitSub,UpdatedSpeciesCode,Notes,SpeciesState,Family,Noxious,Invasive,SG_Group,HigherTaxon,Nonnative,SpecialStatus,Photosynthesis,PJ,CurrentPLANTSCode
common yarrow,ACMI2,Achillea millefolium,NonWoody,Perennial,Forb,ACMI2,NA,RanchoCortaMadera,NA,NA,NA, ,NA,NA,NA,NA,NA,ACMI2
chamise,ADFA,Adenostoma fasciculatum,Woody,Annual,Shrub,ADFA,NA,RanchoCortaMadera,NA,NA,NA, ,NA,NA,NA,NA,NA,ADFA
unknown annual forb species 1,AF01,,NonWoody,Annual,Forb,NA,NA,RanchoCortaMadera,NA,NA,NA, ,NA,NA,NA,NA,NA,NA
unknown annual forb species 5,AF05,,NonWoody,Annual,Forb,NA,NA,RanchoCortaMadera,NA,NA,NA, ,NA,NA,NA,NA,NA,NA
unknown annual grass species 1,AG01,,NonWoody,Annual,Graminoid,NA,NA,RanchoCortaMadera,NA,NA,NA, ,NA,NA,NA,NA,NA,NA
agoseris,AGOSE,Agoseris species,NonWoody,Perennial,Forb,AGOSE,NA,RanchoCortaMadera,NA,NA,NA, ,NA,NA,NA,NA,NA,AGOSE
spearleaf agoseris,AGRE,Agoseris retrorsa,NonWoody,Perennial,Forb,AGRE,NA,RanchoCortaMadera,NA,NA,NA, ,NA,NA,NA,NA,NA,AGRE
Cuman ragweed,AMPS,Ambrosia psilostachya,NonWoody,Perennial,Forb,AMPS,NA,RanchoCortaMadera,NA,NA,NA, ,NA,NA,NA,NA,NA,AMPS
chaffweed,ANMI4,Anagallis minima,NonWoody,Annual,Forb,ANMI4,NA,RanchoCortaMadera,NA,NA,NA, ,NA,NA,NA,NA,NA,ANMI4
big sagebrush,ARTR2,Artemisia tridentata,Woody,Annual,Shrub,ARTR2,NA,RanchoCortaMadera,NA,NA,NA, ,NA,NA,NA,NA,NA,ARTR2
milkvetch,ASTRA,Astragalus species,NonWoody,Perennial,Forb,ASTRA,NA,RanchoCortaMadera,NA,NA,NA, ,NA,NA,NA,NA,NA,ASTRA
purple false brome,BRDI2,Brachypodium distachyon,NonWoody,Annual,Graminoid,BRDI2,NA,RanchoCortaMadera,NA,NA,NA, ,NA,NA,NA,NA,NA,BRDI2
soft brome,BRHO2,Bromus hordeaceus,NonWoody,Annual,Graminoid,BRHO2,NA,RanchoCortaMadera,NA,NA,NA, ,NA,NA,NA,NA,NA,BRHO2
shepherd's purse,CABU2,Capsella bursa-pastoris,NonWoody,Annual,Forb,CABU2,NA,RanchoCortaMadera,NA,NA,NA, ,NA,NA,NA,NA,NA,CABU2
fringed redmaids,CACI2,Calandrinia ciliata,NonWoody,Annual,Forb,CACI2,NA,RanchoCortaMadera,NA,NA,NA, ,NA,NA,NA,NA,NA,CACI2
clustered field sedge,CAPR5,Carex praegracilis,NonWoody,Perennial,Graminoid,CAPR5,NA,RanchoCortaMadera,NA,NA,NA, ,NA,NA,NA,NA,NA,CAPR5
sedge,CAREX,Carex species,NonWoody,Perennial,Graminoid,CAREX,NA,RanchoCortaMadera,NA,NA,NA, ,NA,NA,NA,NA,NA,CAREX
sandysoil suncup,CAST20,Camissonia strigulosa,NonWoody,Annual,Forb,CAST20,NA,RanchoCortaMadera,NA,NA,NA, ,NA,NA,NA,NA,NA,CAST20
Indian paintbrush,CASTI2,Castilleja species,NonWoody,Annual,Forb,CASTI2,NA,RanchoCortaMadera,NA,NA,NA, ,NA,NA,NA,NA,NA,CASTI2
sticky chickweed,CEGL2,Cerastium glomeratum,NonWoody,Annual,Forb,CEGL2,NA,RanchoCortaMadera,NA,NA,NA, ,NA,NA,NA,NA,NA,CEGL2
Ramona clarkia,CLSI,Clarkia similis,NonWoody,Annual,Forb,CLSI,NA,RanchoCortaMadera,NA,NA,NA, ,NA,NA,NA,NA,NA,CLSI
bluedicks,DICA14,Dichelostemma capitatum,NonWoody,Perennial,Forb,DICA14,NA,RanchoCortaMadera,NA,NA,NA, ,NA,NA,NA,NA,NA,DICA14
longbeak stork's bill,ERBO,Erodium botrys,NonWoody,Annual,Forb,ERBO,NA,RanchoCortaMadera,NA,NA,NA, ,NA,NA,NA,NA,NA,ERBO
restem stork's bill,ERCI6,Erodium cicutarium,NonWoody,Annual,Forb,ERCI6,NA,RanchoCortaMadera,NA,NA,NA, ,NA,NA,NA,NA,NA,ERCI6
